level,en_word,transcription,ru_word
A1,hello,[həˈləʊ],привет
A1,goodbye,[ˌɡʊdˈbaɪ],до свидания
A1,thank you,[ˈθæŋk juː],спасибо
A1,please,[pliːz],пожалуйста
A1,yes,[jes],да
A1,no,[nəʊ],нет
A1,man,[mæn],мужчина
A1,woman,[ˈwʊmən],женщина
A1,boy,[bɔɪ],мальчик
A1,girl,[ɡɜːl],девочка
A1,child,[tʃaɪld],ребёнок
A1,children,[ˈtʃɪldrən],дети
A1,father,[ˈfɑːðə],отец
A1,mother,[ˈmʌðə],мать
A1,parent,[ˈpeərənt],родитель
A1,friend,[frend],друг
A1,name,[neɪm],имя
A1,age,[eɪdʒ],возраст
A1,house,[haʊs],дом
A1,home,[həʊm],дом (место жительства)
A1,room,[ruːm],комната
A1,door,[dɔː],дверь
A1,window,[ˈwɪndəʊ],окно
A1,table,[ˈteɪbəl],стол
A1,chair,[tʃeə],стул
A1,bed,[bed],кровать
A1,book,[bʊk],книга
A1,pen,[pen],ручка
A1,pencil,[ˈpensəl],карандаш
A1,paper,[ˈpeɪpə],бумага
A1,bag,[bæɡ],сумка
A1,phone,[fəʊn],телефон
A1,water,[ˈwɔːtə],вода
A1,food,[fuːd],еда
A1,bread,[bred],хлеб
A1,milk,[mɪlk],молоко
A1,tea,[tiː],чай
A1,coffee,[ˈkɒfi],кофе
A1,apple,[ˈæpəl],яблоко
A1,banana,[bəˈnɑːnə],банан
A1,orange,[ˈɒrɪndʒ],апельсин
A1,egg,[eɡ],яйцо
A1,meat,[miːt],мясо
A1,fish,[fɪʃ],рыба
A1,rice,[raɪs],рис
A1,soup,[suːp],суп
A1,cake,[keɪk],торт
A1,day,[deɪ],день
A1,night,[naɪt],ночь
A1,morning,[ˈmɔːnɪŋ],утро
A1,evening,[ˈiːvnɪŋ],вечер
A1,week,[wiːk],неделя
A1,month,[mʌnθ],месяц
A1,year,[jɪə],год
A1,time,[taɪm],время
A1,clock,[klɒk],часы
A1,now,[naʊ],сейчас
A1,today,[təˈdeɪ],сегодня
A1,tomorrow,[təˈmɒrəʊ],завтра
A1,yesterday,[ˈjestədeɪ],вчера
A1,here,[hɪə],здесь
A1,there,[ðeə],там
A1,this,[ðɪs],этот / это
A1,that,[ðæt],тот / то
A1,who,[huː],кто
A1,what,[wɒt],что
A1,where,[weə],где
A1,when,[wen],когда
A1,how,[haʊ],как
A1,why,[waɪ],почему
A1,good,[ɡʊd],хороший
A1,bad,[bæd],плохой
A1,big,[bɪɡ],большой
A1,small,[smɔːl],маленький
A1,hot,[hɒt],горячий
A1,cold,[kəʊld],холодный
A1,happy,[ˈhæpi],счастливый
A1,sad,[sæd],грустный
A1,old,[əʊld],старый
A1,new,[njuː],новый
A1,long,[lɒŋ],длинный
A1,short,[ʃɔːt],короткий
A1,fast,[fɑːst],быстрый
A1,slow,[sləʊ],медленный
A1,easy,[ˈiːzi],лёгкий
A1,difficult,[ˈdɪfɪkəlt],трудный
A1,right,[raɪt],правильный / справа
A1,wrong,[rɒŋ],неправильный
A1,left,[left],слева
A1,up,[ʌp],вверх
A1,down,[daʊn],вниз
A1,in,[ɪn],в
A1,on,[ɒn],на
A1,under,[ˈʌndə],под
A1,near,[nɪə],рядом
A1,far,[fɑː],далеко
A1,go,[ɡəʊ],идти
A1,come,[kʌm],приходить
A1,see,[siː],видеть
A1,look,[lʊk],смотреть
A1,listen,[ˈlɪsən],слушать
A1,speak,[spiːk],говорить
A1,talk,[tɔːk],разговаривать
A1,read,[riːd],читать
A1,write,[raɪt],писать
A1,eat,[iːt],есть
A1,drink,[drɪŋk],пить
A1,like,[laɪk],нравиться
A1,love,[lʌv],любить
A1,know,[nəʊ],знать
A1,understand,[ˌʌndəˈstænd],понимать
A1,have,[hæv],иметь
A1,do,[duː],делать
A1,make,[meɪk],делать / изготавливать
A1,open,[ˈəʊpən],открывать
A1,close,[kləʊz],закрывать
A1,sit,[sɪt],сидеть
A1,stand,[stænd],стоять
